,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account_bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,other_debtors_guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,class
139,b'A13',12.0,b'A32',b'A43',1881.0,b'A61',b'A73',2.0,b'A92',b'A101',2.0,b'A123',44.0,b'A143',b'A151',1.0,b'A172',1.0,b'A192',b'A201',1
140,b'A13',6.0,b'A32',b'A40',709.0,b'A64',b'A72',2.0,b'A94',b'A101',2.0,b'A121',27.0,b'A143',b'A152',1.0,b'A171',1.0,b'A191',b'A202',1
141,b'A12',36.0,b'A32',b'A43',4795.0,b'A61',b'A72',4.0,b'A92',b'A101',1.0,b'A124',30.0,b'A143',b'A152',1.0,b'A174',1.0,b'A192',b'A201',1
142,b'A11',27.0,b'A32',b'A43',3416.0,b'A61',b'A73',3.0,b'A93',b'A101',2.0,b'A123',27.0,b'A143',b'A152',1.0,b'A174',1.0,b'A191',b'A201',1
143,b'A11',18.0,b'A32',b'A42',2462.0,b'A61',b'A73',2.0,b'A93',b'A101',2.0,b'A123',22.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
144,b'A14',21.0,b'A34',b'A42',2288.0,b'A61',b'A72',4.0,b'A92',b'A101',4.0,b'A122',23.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
145,b'A12',48.0,b'A31',b'A49',3566.0,b'A62',b'A74',4.0,b'A93',b'A101',2.0,b'A123',30.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
146,b'A11',6.0,b'A34',b'A40',860.0,b'A61',b'A75',1.0,b'A92',b'A101',4.0,b'A124',39.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',1
147,b'A14',12.0,b'A34',b'A40',682.0,b'A62',b'A74',4.0,b'A92',b'A101',3.0,b'A123',51.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',1
148,b'A11',36.0,b'A34',b'A42',5371.0,b'A61',b'A73',3.0,b'A93',b'A103',2.0,b'A122',28.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
149,b'A14',18.0,b'A34',b'A43',1582.0,b'A64',b'A75',4.0,b'A93',b'A101',4.0,b'A123',46.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
150,b'A14',6.0,b'A32',b'A43',1346.0,b'A62',b'A75',2.0,b'A93',b'A101',4.0,b'A124',42.0,b'A141',b'A153',1.0,b'A173',2.0,b'A192',b'A201',1
151,b'A14',10.0,b'A32',b'A43',1924.0,b'A61',b'A73',1.0,b'A93',b'A101',4.0,b'A122',38.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A202',1
152,b'A13',36.0,b'A32',b'A43',5848.0,b'A61',b'A73',4.0,b'A93',b'A101',1.0,b'A123',24.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
153,b'A12',24.0,b'A34',b'A41',7758.0,b'A64',b'A75',2.0,b'A92',b'A101',4.0,b'A124',29.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',1
154,b'A12',24.0,b'A33',b'A49',6967.0,b'A62',b'A74',4.0,b'A93',b'A101',4.0,b'A123',36.0,b'A143',b'A151',1.0,b'A174',1.0,b'A192',b'A201',1
155,b'A11',12.0,b'A32',b'A42',1282.0,b'A61',b'A73',2.0,b'A92',b'A101',4.0,b'A123',20.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',2
156,b'A11',9.0,b'A34',b'A45',1288.0,b'A62',b'A75',3.0,b'A93',b'A103',4.0,b'A121',48.0,b'A143',b'A152',2.0,b'A173',2.0,b'A191',b'A202',1
157,b'A11',12.0,b'A31',b'A48',339.0,b'A61',b'A75',4.0,b'A94',b'A101',1.0,b'A123',45.0,b'A141',b'A152',1.0,b'A172',1.0,b'A191',b'A201',1
158,b'A12',24.0,b'A32',b'A40',3512.0,b'A62',b'A74',2.0,b'A93',b'A101',3.0,b'A123',38.0,b'A141',b'A152',2.0,b'A173',1.0,b'A192',b'A201',1
159,b'A14',6.0,b'A34',b'A43',1898.0,b'A65',b'A73',1.0,b'A93',b'A101',2.0,b'A121',34.0,b'A143',b'A152',2.0,b'A172',2.0,b'A191',b'A201',1
160,b'A14',24.0,b'A34',b'A43',2872.0,b'A62',b'A75',3.0,b'A93',b'A101',4.0,b'A121',36.0,b'A143',b'A152',1.0,b'A173',2.0,b'A192',b'A201',1
161,b'A14',18.0,b'A34',b'A40',1055.0,b'A61',b'A72',4.0,b'A92',b'A101',1.0,b'A122',30.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
162,b'A14',15.0,b'A32',b'A44',1262.0,b'A63',b'A74',4.0,b'A93',b'A101',3.0,b'A122',36.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',1
163,b'A12',10.0,b'A32',b'A40',7308.0,b'A61',b'A71',2.0,b'A93',b'A101',4.0,b'A124',70.0,b'A141',b'A153',1.0,b'A174',1.0,b'A192',b'A201',1
164,b'A14',36.0,b'A32',b'A40',909.0,b'A63',b'A75',4.0,b'A93',b'A101',4.0,b'A122',36.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
165,b'A14',6.0,b'A32',b'A42',2978.0,b'A63',b'A73',1.0,b'A93',b'A101',2.0,b'A123',32.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
166,b'A11',18.0,b'A32',b'A42',1131.0,b'A61',b'A71',4.0,b'A92',b'A101',2.0,b'A123',33.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
167,b'A12',11.0,b'A32',b'A42',1577.0,b'A64',b'A72',4.0,b'A92',b'A101',1.0,b'A121',20.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
168,b'A14',24.0,b'A32',b'A42',3972.0,b'A61',b'A74',2.0,b'A92',b'A101',4.0,b'A122',25.0,b'A143',b'A151',1.0,b'A173',1.0,b'A192',b'A201',1
169,b'A12',24.0,b'A34',b'A49',1935.0,b'A61',b'A75',4.0,b'A91',b'A101',4.0,b'A121',31.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',2
170,b'A11',15.0,b'A30',b'A40',950.0,b'A61',b'A75',4.0,b'A93',b'A101',3.0,b'A123',33.0,b'A143',b'A151',2.0,b'A173',2.0,b'A191',b'A201',2
171,b'A14',12.0,b'A32',b'A42',763.0,b'A61',b'A73',4.0,b'A92',b'A101',1.0,b'A121',26.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
172,b'A12',24.0,b'A33',b'A42',2064.0,b'A61',b'A71',3.0,b'A92',b'A101',2.0,b'A122',34.0,b'A143',b'A152',1.0,b'A174',1.0,b'A192',b'A201',2
173,b'A12',8.0,b'A32',b'A43',1414.0,b'A61',b'A73',4.0,b'A93',b'A103',2.0,b'A121',33.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A202',1
174,b'A11',21.0,b'A33',b'A46',3414.0,b'A61',b'A72',2.0,b'A93',b'A101',1.0,b'A122',26.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',2
175,b'A14',30.0,b'A31',b'A41',7485.0,b'A65',b'A71',4.0,b'A92',b'A101',1.0,b'A121',53.0,b'A141',b'A152',1.0,b'A174',1.0,b'A192',b'A201',2
176,b'A11',12.0,b'A32',b'A42',2577.0,b'A61',b'A73',2.0,b'A91',b'A101',1.0,b'A123',42.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
177,b'A11',6.0,b'A34',b'A43',338.0,b'A63',b'A75',4.0,b'A93',b'A101',4.0,b'A123',52.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
178,b'A14',12.0,b'A32',b'A43',1963.0,b'A61',b'A74',4.0,b'A93',b'A101',2.0,b'A123',31.0,b'A143',b'A151',2.0,b'A174',2.0,b'A192',b'A201',1
179,b'A11',21.0,b'A34',b'A40',571.0,b'A61',b'A75',4.0,b'A93',b'A101',4.0,b'A121',65.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
180,b'A14',36.0,b'A33',b'A49',9572.0,b'A61',b'A72',1.0,b'A91',b'A101',1.0,b'A123',28.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',2
181,b'A12',36.0,b'A33',b'A49',4455.0,b'A61',b'A73',2.0,b'A91',b'A101',2.0,b'A121',30.0,b'A142',b'A152',2.0,b'A174',1.0,b'A192',b'A201',2
182,b'A11',21.0,b'A31',b'A40',1647.0,b'A65',b'A73',4.0,b'A93',b'A101',2.0,b'A122',40.0,b'A143',b'A152',2.0,b'A172',2.0,b'A191',b'A201',2
183,b'A14',24.0,b'A34',b'A42',3777.0,b'A64',b'A73',4.0,b'A93',b'A101',4.0,b'A121',50.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
184,b'A12',18.0,b'A34',b'A40',884.0,b'A61',b'A75',4.0,b'A93',b'A101',4.0,b'A123',36.0,b'A141',b'A152',1.0,b'A173',2.0,b'A192',b'A201',2
185,b'A14',15.0,b'A34',b'A43',1360.0,b'A61',b'A73',4.0,b'A93',b'A101',2.0,b'A122',31.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
186,b'A12',9.0,b'A31',b'A41',5129.0,b'A61',b'A75',2.0,b'A92',b'A101',4.0,b'A124',74.0,b'A141',b'A153',1.0,b'A174',2.0,b'A192',b'A201',2
187,b'A12',16.0,b'A34',b'A40',1175.0,b'A61',b'A71',2.0,b'A93',b'A101',3.0,b'A123',68.0,b'A143',b'A153',3.0,b'A171',1.0,b'A192',b'A201',1
188,b'A11',12.0,b'A32',b'A43',674.0,b'A62',b'A74',4.0,b'A94',b'A101',1.0,b'A122',20.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
189,b'A12',18.0,b'A30',b'A42',3244.0,b'A61',b'A73',1.0,b'A92',b'A101',4.0,b'A123',33.0,b'A141',b'A152',2.0,b'A173',1.0,b'A192',b'A201',1
190,b'A14',24.0,b'A32',b'A49',4591.0,b'A64',b'A73',2.0,b'A93',b'A101',3.0,b'A122',54.0,b'A143',b'A152',3.0,b'A174',1.0,b'A192',b'A201',2
191,b'A12',48.0,b'A30',b'A49',3844.0,b'A62',b'A74',4.0,b'A93',b'A101',4.0,b'A124',34.0,b'A143',b'A153',1.0,b'A172',2.0,b'A191',b'A201',2
192,b'A12',27.0,b'A32',b'A49',3915.0,b'A61',b'A73',4.0,b'A93',b'A101',2.0,b'A123',36.0,b'A143',b'A152',1.0,b'A173',2.0,b'A192',b'A201',2
193,b'A14',6.0,b'A32',b'A43',2108.0,b'A61',b'A74',2.0,b'A94',b'A101',2.0,b'A121',29.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',1
194,b'A12',45.0,b'A32',b'A43',3031.0,b'A62',b'A73',4.0,b'A93',b'A103',4.0,b'A122',21.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',2
195,b'A12',9.0,b'A34',b'A46',1501.0,b'A61',b'A75',2.0,b'A92',b'A101',3.0,b'A123',34.0,b'A143',b'A152',2.0,b'A174',1.0,b'A192',b'A201',2
196,b'A14',6.0,b'A34',b'A43',1382.0,b'A61',b'A73',1.0,b'A92',b'A101',1.0,b'A123',28.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',1
197,b'A12',12.0,b'A32',b'A42',951.0,b'A62',b'A72',4.0,b'A92',b'A101',4.0,b'A123',27.0,b'A141',b'A151',4.0,b'A173',1.0,b'A191',b'A201',2
198,b'A12',24.0,b'A32',b'A41',2760.0,b'A65',b'A75',4.0,b'A93',b'A101',4.0,b'A124',36.0,b'A141',b'A153',1.0,b'A173',1.0,b'A192',b'A201',1
199,b'A12',18.0,b'A33',b'A42',4297.0,b'A61',b'A75',4.0,b'A91',b'A101',3.0,b'A124',40.0,b'A143',b'A152',1.0,b'A174',1.0,b'A192',b'A201',2
200,b'A14',9.0,b'A34',b'A46',936.0,b'A63',b'A75',4.0,b'A93',b'A101',2.0,b'A123',52.0,b'A143',b'A152',2.0,b'A173',1.0,b'A192',b'A201',1
201,b'A11',12.0,b'A32',b'A40',1168.0,b'A61',b'A73',4.0,b'A94',b'A101',3.0,b'A121',27.0,b'A143',b'A152',1.0,b'A172',1.0,b'A191',b'A201',1
202,b'A14',27.0,b'A33',b'A49',5117.0,b'A61',b'A74',3.0,b'A93',b'A101',4.0,b'A123',26.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
203,b'A11',12.0,b'A32',b'A48',902.0,b'A61',b'A74',4.0,b'A94',b'A101',4.0,b'A122',21.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',2
204,b'A14',12.0,b'A34',b'A40',1495.0,b'A61',b'A75',4.0,b'A93',b'A101',1.0,b'A121',38.0,b'A143',b'A152',2.0,b'A172',2.0,b'A191',b'A201',1
205,b'A11',30.0,b'A34',b'A41',10623.0,b'A61',b'A75',3.0,b'A93',b'A101',4.0,b'A124',38.0,b'A143',b'A153',3.0,b'A174',2.0,b'A192',b'A201',1
206,b'A14',12.0,b'A34',b'A42',1935.0,b'A61',b'A75',4.0,b'A93',b'A101',4.0,b'A121',43.0,b'A143',b'A152',3.0,b'A173',1.0,b'A192',b'A201',1
207,b'A12',12.0,b'A34',b'A44',1424.0,b'A61',b'A74',4.0,b'A93',b'A101',3.0,b'A122',26.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
208,b'A11',24.0,b'A32',b'A49',6568.0,b'A61',b'A73',2.0,b'A94',b'A101',2.0,b'A123',21.0,b'A142',b'A152',1.0,b'A172',1.0,b'A191',b'A201',1
209,b'A14',12.0,b'A32',b'A41',1413.0,b'A64',b'A74',3.0,b'A93',b'A101',2.0,b'A122',55.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A202',1
210,b'A14',9.0,b'A34',b'A43',3074.0,b'A65',b'A73',1.0,b'A93',b'A101',2.0,b'A121',33.0,b'A143',b'A152',2.0,b'A173',2.0,b'A191',b'A201',1
211,b'A14',36.0,b'A32',b'A43',3835.0,b'A65',b'A75',2.0,b'A92',b'A101',4.0,b'A121',45.0,b'A143',b'A152',1.0,b'A172',1.0,b'A192',b'A201',1
212,b'A11',27.0,b'A30',b'A49',5293.0,b'A61',b'A71',2.0,b'A93',b'A101',4.0,b'A122',50.0,b'A142',b'A152',2.0,b'A173',1.0,b'A192',b'A201',2
213,b'A13',30.0,b'A33',b'A49',1908.0,b'A61',b'A75',4.0,b'A93',b'A101',4.0,b'A121',66.0,b'A143',b'A152',1.0,b'A174',1.0,b'A192',b'A201',2
214,b'A14',36.0,b'A34',b'A43',3342.0,b'A65',b'A75',4.0,b'A93',b'A101',2.0,b'A123',51.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
215,b'A12',6.0,b'A34',b'A48',932.0,b'A65',b'A74',1.0,b'A92',b'A101',3.0,b'A122',39.0,b'A143',b'A152',2.0,b'A172',1.0,b'A191',b'A201',1
216,b'A11',18.0,b'A30',b'A49',3104.0,b'A61',b'A74',3.0,b'A93',b'A101',1.0,b'A122',31.0,b'A141',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
217,b'A13',36.0,b'A32',b'A43',3913.0,b'A61',b'A73',2.0,b'A93',b'A101',2.0,b'A121',23.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
218,b'A11',24.0,b'A32',b'A42',3021.0,b'A61',b'A73',2.0,b'A91',b'A101',2.0,b'A121',24.0,b'A143',b'A151',1.0,b'A172',1.0,b'A191',b'A201',1
219,b'A14',10.0,b'A32',b'A40',1364.0,b'A61',b'A73',2.0,b'A92',b'A101',4.0,b'A123',64.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
220,b'A12',12.0,b'A32',b'A43',625.0,b'A61',b'A72',4.0,b'A94',b'A103',1.0,b'A121',26.0,b'A141',b'A152',1.0,b'A172',1.0,b'A191',b'A201',1
221,b'A11',12.0,b'A32',b'A46',1200.0,b'A65',b'A73',4.0,b'A92',b'A101',4.0,b'A122',23.0,b'A141',b'A151',1.0,b'A173',1.0,b'A192',b'A201',1
222,b'A14',12.0,b'A32',b'A43',707.0,b'A61',b'A73',4.0,b'A93',b'A101',2.0,b'A121',30.0,b'A141',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
223,b'A14',24.0,b'A33',b'A49',2978.0,b'A65',b'A73',4.0,b'A93',b'A101',4.0,b'A121',32.0,b'A143',b'A152',2.0,b'A173',2.0,b'A192',b'A201',1
224,b'A14',15.0,b'A32',b'A41',4657.0,b'A61',b'A73',3.0,b'A93',b'A101',2.0,b'A123',30.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
225,b'A14',36.0,b'A30',b'A45',2613.0,b'A61',b'A73',4.0,b'A93',b'A101',2.0,b'A123',27.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
226,b'A12',48.0,b'A32',b'A43',10961.0,b'A64',b'A74',1.0,b'A93',b'A102',2.0,b'A124',27.0,b'A141',b'A152',2.0,b'A173',1.0,b'A192',b'A201',2
227,b'A11',12.0,b'A32',b'A42',7865.0,b'A61',b'A75',4.0,b'A93',b'A101',4.0,b'A124',53.0,b'A143',b'A153',1.0,b'A174',1.0,b'A192',b'A201',2
228,b'A14',9.0,b'A32',b'A43',1478.0,b'A61',b'A74',4.0,b'A93',b'A101',2.0,b'A123',22.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
229,b'A11',24.0,b'A32',b'A42',3149.0,b'A61',b'A72',4.0,b'A93',b'A101',1.0,b'A124',22.0,b'A141',b'A153',1.0,b'A173',1.0,b'A191',b'A201',1
230,b'A13',36.0,b'A32',b'A43',4210.0,b'A61',b'A73',4.0,b'A93',b'A101',2.0,b'A123',26.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
231,b'A14',9.0,b'A32',b'A40',2507.0,b'A63',b'A75',2.0,b'A93',b'A101',4.0,b'A124',51.0,b'A143',b'A153',1.0,b'A172',1.0,b'A191',b'A201',1
232,b'A14',12.0,b'A32',b'A43',2141.0,b'A62',b'A74',3.0,b'A93',b'A101',1.0,b'A124',35.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
233,b'A12',18.0,b'A32',b'A43',866.0,b'A61',b'A73',4.0,b'A94',b'A103',2.0,b'A121',25.0,b'A143',b'A152',1.0,b'A172',1.0,b'A191',b'A201',1
234,b'A14',4.0,b'A34',b'A43',1544.0,b'A61',b'A74',2.0,b'A93',b'A101',1.0,b'A121',42.0,b'A143',b'A152',3.0,b'A172',2.0,b'A191',b'A201',1
235,b'A11',24.0,b'A32',b'A43',1823.0,b'A61',b'A71',4.0,b'A93',b'A101',2.0,b'A123',30.0,b'A142',b'A152',1.0,b'A174',2.0,b'A191',b'A201',2
236,b'A12',6.0,b'A32',b'A40',14555.0,b'A65',b'A71',1.0,b'A93',b'A101',2.0,b'A122',23.0,b'A143',b'A152',1.0,b'A171',1.0,b'A192',b'A201',2
237,b'A12',21.0,b'A32',b'A49',2767.0,b'A62',b'A75',4.0,b'A91',b'A101',2.0,b'A123',61.0,b'A141',b'A151',2.0,b'A172',1.0,b'A191',b'A201',2
238,b'A14',12.0,b'A34',b'A43',1291.0,b'A61',b'A73',4.0,b'A92',b'A101',2.0,b'A122',35.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
239,b'A11',30.0,b'A32',b'A43',2522.0,b'A61',b'A75',1.0,b'A93',b'A103',3.0,b'A122',39.0,b'A143',b'A152',1.0,b'A173',2.0,b'A191',b'A201',1
240,b'A11',24.0,b'A32',b'A40',915.0,b'A65',b'A75',4.0,b'A92',b'A101',2.0,b'A123',29.0,b'A141',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
241,b'A14',6.0,b'A32',b'A43',1595.0,b'A61',b'A74',3.0,b'A93',b'A101',2.0,b'A122',51.0,b'A143',b'A152',1.0,b'A173',2.0,b'A191',b'A201',1
242,b'A11',48.0,b'A30',b'A41',4605.0,b'A61',b'A75',3.0,b'A93',b'A101',4.0,b'A124',24.0,b'A143',b'A153',2.0,b'A173',2.0,b'A191',b'A201',2
243,b'A14',12.0,b'A34',b'A49',1185.0,b'A61',b'A73',3.0,b'A92',b'A101',2.0,b'A121',27.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
244,b'A14',12.0,b'A31',b'A48',3447.0,b'A63',b'A73',4.0,b'A92',b'A101',3.0,b'A121',35.0,b'A143',b'A152',1.0,b'A172',2.0,b'A191',b'A201',1
245,b'A14',24.0,b'A32',b'A49',1258.0,b'A61',b'A74',4.0,b'A93',b'A101',1.0,b'A121',25.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
246,b'A14',12.0,b'A34',b'A43',717.0,b'A61',b'A75',4.0,b'A93',b'A101',4.0,b'A121',52.0,b'A143',b'A152',3.0,b'A173',1.0,b'A191',b'A201',1
247,b'A14',6.0,b'A30',b'A40',1204.0,b'A62',b'A73',4.0,b'A93',b'A101',1.0,b'A124',35.0,b'A141',b'A151',1.0,b'A173',1.0,b'A191',b'A202',1
248,b'A13',24.0,b'A32',b'A42',1925.0,b'A61',b'A73',2.0,b'A93',b'A101',2.0,b'A121',26.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
249,b'A14',18.0,b'A32',b'A43',433.0,b'A61',b'A71',3.0,b'A92',b'A102',4.0,b'A121',22.0,b'A143',b'A151',1.0,b'A173',1.0,b'A191',b'A201',2
250,b'A11',6.0,b'A34',b'A40',666.0,b'A64',b'A74',3.0,b'A92',b'A101',4.0,b'A121',39.0,b'A143',b'A152',2.0,b'A172',1.0,b'A192',b'A201',1
251,b'A13',12.0,b'A32',b'A42',2251.0,b'A61',b'A73',1.0,b'A92',b'A101',2.0,b'A123',46.0,b'A143',b'A152',1.0,b'A172',1.0,b'A191',b'A201',1
252,b'A12',30.0,b'A32',b'A40',2150.0,b'A61',b'A73',4.0,b'A92',b'A103',2.0,b'A124',24.0,b'A141',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
253,b'A14',24.0,b'A33',b'A42',4151.0,b'A62',b'A73',2.0,b'A93',b'A101',3.0,b'A122',35.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
254,b'A12',9.0,b'A32',b'A42',2030.0,b'A65',b'A74',2.0,b'A93',b'A101',1.0,b'A123',24.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
255,b'A12',60.0,b'A33',b'A43',7418.0,b'A65',b'A73',1.0,b'A93',b'A101',1.0,b'A121',27.0,b'A143',b'A152',1.0,b'A172',1.0,b'A191',b'A201',1
256,b'A14',24.0,b'A34',b'A43',2684.0,b'A61',b'A73',4.0,b'A93',b'A101',2.0,b'A121',35.0,b'A143',b'A152',2.0,b'A172',1.0,b'A191',b'A201',1
257,b'A11',12.0,b'A31',b'A43',2149.0,b'A61',b'A73',4.0,b'A91',b'A101',1.0,b'A124',29.0,b'A143',b'A153',1.0,b'A173',1.0,b'A191',b'A201',2
258,b'A14',15.0,b'A32',b'A41',3812.0,b'A62',b'A72',1.0,b'A92',b'A101',4.0,b'A123',23.0,b'A143',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
259,b'A14',11.0,b'A34',b'A43',1154.0,b'A62',b'A71',4.0,b'A92',b'A101',4.0,b'A121',57.0,b'A143',b'A152',3.0,b'A172',1.0,b'A191',b'A201',1
260,b'A11',12.0,b'A32',b'A42',1657.0,b'A61',b'A73',2.0,b'A93',b'A101',2.0,b'A121',27.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
261,b'A11',24.0,b'A32',b'A43',1603.0,b'A61',b'A75',4.0,b'A92',b'A101',4.0,b'A123',55.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',1
262,b'A11',18.0,b'A34',b'A40',5302.0,b'A61',b'A75',2.0,b'A93',b'A101',4.0,b'A124',36.0,b'A143',b'A153',3.0,b'A174',1.0,b'A192',b'A201',1
263,b'A14',12.0,b'A34',b'A46',2748.0,b'A61',b'A75',2.0,b'A92',b'A101',4.0,b'A124',57.0,b'A141',b'A153',3.0,b'A172',1.0,b'A191',b'A201',1
264,b'A14',10.0,b'A34',b'A40',1231.0,b'A61',b'A75',3.0,b'A93',b'A101',4.0,b'A121',32.0,b'A143',b'A152',2.0,b'A172',2.0,b'A191',b'A202',1
265,b'A12',15.0,b'A32',b'A43',802.0,b'A61',b'A75',4.0,b'A93',b'A101',3.0,b'A123',37.0,b'A143',b'A152',1.0,b'A173',2.0,b'A191',b'A201',2
266,b'A14',36.0,b'A34',b'A49',6304.0,b'A65',b'A75',4.0,b'A93',b'A101',4.0,b'A121',36.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
267,b'A14',24.0,b'A32',b'A43',1533.0,b'A61',b'A72',4.0,b'A92',b'A101',3.0,b'A123',38.0,b'A142',b'A152',1.0,b'A173',1.0,b'A192',b'A201',1
268,b'A11',14.0,b'A32',b'A40',8978.0,b'A61',b'A75',1.0,b'A91',b'A101',4.0,b'A122',45.0,b'A143',b'A152',1.0,b'A174',1.0,b'A192',b'A202',2
269,b'A14',24.0,b'A32',b'A43',999.0,b'A65',b'A75',4.0,b'A93',b'A101',2.0,b'A123',25.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
270,b'A14',18.0,b'A32',b'A40',2662.0,b'A65',b'A74',4.0,b'A93',b'A101',3.0,b'A122',32.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A202',1
271,b'A14',12.0,b'A34',b'A42',1402.0,b'A63',b'A74',3.0,b'A92',b'A101',4.0,b'A123',37.0,b'A143',b'A151',1.0,b'A173',1.0,b'A192',b'A201',1
272,b'A12',48.0,b'A31',b'A40',12169.0,b'A65',b'A71',4.0,b'A93',b'A102',4.0,b'A124',36.0,b'A143',b'A153',1.0,b'A174',1.0,b'A192',b'A201',1
273,b'A12',48.0,b'A32',b'A43',3060.0,b'A61',b'A74',4.0,b'A93',b'A101',4.0,b'A121',28.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',2
274,b'A11',30.0,b'A32',b'A45',11998.0,b'A61',b'A72',1.0,b'A91',b'A101',1.0,b'A124',34.0,b'A143',b'A152',1.0,b'A172',1.0,b'A192',b'A201',2
275,b'A14',9.0,b'A32',b'A43',2697.0,b'A61',b'A73',1.0,b'A93',b'A101',2.0,b'A121',32.0,b'A143',b'A152',1.0,b'A173',2.0,b'A191',b'A201',1
276,b'A14',18.0,b'A34',b'A43',2404.0,b'A61',b'A73',2.0,b'A92',b'A101',2.0,b'A123',26.0,b'A143',b'A152',2.0,b'A173',1.0,b'A191',b'A201',1
277,b'A11',12.0,b'A32',b'A42',1262.0,b'A65',b'A75',2.0,b'A91',b'A101',4.0,b'A122',49.0,b'A143',b'A152',1.0,b'A172',1.0,b'A192',b'A201',1
278,b'A14',6.0,b'A32',b'A42',4611.0,b'A61',b'A72',1.0,b'A92',b'A101',4.0,b'A122',32.0,b'A143',b'A152',1.0,b'A173',1.0,b'A191',b'A201',2
279,b'A14',24.0,b'A32',b'A43',1901.0,b'A62',b'A73',4.0,b'A93',b'A101',4.0,b'A123',29.0,b'A143',b'A151',1.0,b'A174',1.0,b'A192',b'A201',1
